opponent_rating,bullet_g,bullet_r,bullet_p,blitz_g,blitz_r,blitz_p,rapid_g,rapid_r,rapid_p,classical_g,classical_r,classical_p
1760,37,38,0.5135135135135135,0,0,,0,0,,0,0,0
1780,21,12,0.2857142857142857,0,0,,0,0,,0,0,0
1800,3,2,0.3333333333333333,0,0,,0,0,,0,0,0
1820,4,0,0.0,0,0,,0,0,,0,0,0
1840,2,2,0.5,0,0,,0,0,,0,0,0
1860,1,0,0.0,0,0,,0,0,,0,0,0
1880,0,0,,0,0,,0,0,,0,0,0
1900,0,0,,0,0,,0,0,,0,0,0
1920,0,0,,0,0,,0,0,,0,0,0
1940,0,0,,0,0,,0,0,,0,0,0
1960,0,0,,0,0,,0,0,,0,0,0
1980,0,0,,0,0,,0,0,,0,0,0
2000,0,0,,0,0,,0,0,,0,0,0
2020,0,0,,0,0,,0,0,,0,0,0
2040,0,0,,0,0,,0,0,,0,0,0
2060,0,0,,0,0,,0,0,,0,0,0
2080,0,0,,0,0,,0,0,,0,0,0
2100,0,0,,0,0,,0,0,,0,0,0
2120,0,0,,0,0,,0,0,,0,0,0
2140,0,0,,0,0,,0,0,,0,0,0
2160,0,0,,0,0,,0,0,,0,0,0
2180,0,0,,0,0,,0,0,,0,0,0
2200,0,0,,0,0,,0,0,,0,0,0
2220,0,0,,0,0,,0,0,,0,0,0
2240,0,0,,0,0,,0,0,,0,0,0
2260,0,0,,0,0,,0,0,,0,0,0
2280,0,0,,0,0,,0,0,,0,0,0
2300,0,0,,0,0,,0,0,,0,0,0
2320,0,0,,0,0,,0,0,,0,0,0
2340,0,0,,0,0,,0,0,,0,0,0
2360,0,0,,0,0,,0,0,,0,0,0
2380,0,0,,0,0,,0,0,,0,0,0
2400,0,0,,0,0,,0,0,,0,0,0
2420,0,0,,0,0,,0,0,,0,0,0
2440,0,0,,0,0,,0,0,,0,0,0
2460,0,0,,0,0,,0,0,,0,0,0
2480,0,0,,0,0,,0,0,,0,0,0
2500,0,0,,0,0,,0,0,,0,0,0
2520,0,0,,0,0,,0,0,,0,0,0
2540,0,0,,0,0,,0,0,,0,0,0
2560,0,0,,0,0,,0,0,,0,0,0
2580,0,0,,0,0,,0,0,,0,0,0
2600,0,0,,0,0,,0,0,,0,0,0
2620,0,0,,0,0,,0,0,,0,0,0
2640,0,0,,0,0,,0,0,,0,0,0
2660,0,0,,0,0,,0,0,,0,0,0
2680,0,0,,0,0,,0,0,,0,0,0
2700,0,0,,0,0,,0,0,,0,0,0
2720,0,0,,0,0,,0,0,,0,0,0
2740,0,0,,0,0,,0,0,,0,0,0
2760,0,0,,0,0,,0,0,,0,0,0
2780,0,0,,0,0,,0,0,,0,0,0
2800,0,0,,0,0,,0,0,,0,0,0
